aac71332.1	236
aac71333.1	157
aac71334.1	251
aac71335.1	214
aac71336.1	340
aac71337.1	564
aac71338.1	520
aac71339.1	306
aac71340.1	709
aac71341.1	471
aac71342.1	102
aac71343.1	285
aac71344.1	347
aac71345.1	145
aac71346.1	259
aac71347.1	117
aac71348.1	484
aac71349.1	141
aac71350.2	264
aac71351.1	100
aac71352.1	280
aac71353.1	490
aac71354.1	404
aac71355.1	598
aac71357.1	569
aac71358.1	1113
aac71359.1	531
abc59633.1	90
aac71360.1	619
aac71361.1	112
aac71362.1	279
aac71363.1	269
aac71364.1	424
aac71365.2	375
aac71366.1	409
aac71367.1	281
aac71392.2	154
aac71368.1	106
aac71369.1	257
aac71370.1	211
aac71371.1	106
aac71372.1	285
aac71373.1	87
aac71374.1	144
aac71375.1	268
aac71376.1	138
aac71377.1	200
aac71378.1	85
aac71379.1	122
aac71380.1	108
aac71381.1	180
aac71382.1	61
aac71383.1	141
aac71384.1	184
aac71385.1	115
aac71386.1	211
aac71387.1	150
aac71388.1	475
aac71389.1	214
aac71390.1	248
aac71391.1	70
aac71393.1	37
aac71394.1	124
aac71395.2	121
aac71396.1	328
aac71397.1	123
aac71398.1	274
aac71399.1	304
aac71400.1	420
aac71401.1	244
aac71402.1	607
aac71403.1	317
aac71404.1	701
aac71405.1	250
aac71406.1	585
aac71407.1	329
aac71408.2	318
aac71409.2	318
aac71410.1	1444
aac71411.2	1053
aac71412.1	341
aac71413.1	806
aac71414.1	181
aac71415.1	59
aac71416.1	124
aac71418.1	601
aac71419.1	217
aac71420.1	122
aac71421.1	633
aac71422.1	781
aac71423.1	343
aac71424.1	597
aac71425.1	167
aac71426.1	196
aac71427.1	308
aac71428.1	181
aac71429.1	219
abc59631.1	62
aac71430.1	147
aac71438.1	114
aac71431.1	268
aac71432.1	471
aac71433.1	207
aac71434.1	323
aac71435.1	508
aac71436.1	372
aac71437.1	1805
aac71439.1	346
aac71440.1	148
aac71441.2	93
aac71442.2	141
aac71443.1	309
aac71444.1	411
aac71445.1	369
aac71446.1	489
aac71447.2	492
aac71448.1	287
aac71449.1	160
aac71450.1	340
aac71451.1	153
aac71452.1	721
aac71453.1	100
aac71454.1	99
aac71455.1	104
aac71456.1	291
aac71457.1	140
aac71458.1	294
aac71459.1	444
aac71460.1	795
aac71461.2	350
